DC1---DC1	p-value: 0.79143
KLRC1---HLA-E	0.006146
FBLN1---ITGB1	0.004845
TYROBP---CD47	0.004738
FN1---CD44	0.004727
ITGB1---COL3A1	0.004535
VIM---CD44	0.004371
KIR2DL3---HLA-C	0.004001
CCL3---ACKR2	0.003906
KLRD1---HLA-G	0.003892
ITGB1---FBLN1	0.003648
ITGAV---SPP1	0.003616
ITGB1---COL1A1	0.003391
PLAUR---ITGB1	0.003385
ITGB2---CYR61	0.003104
CCL4---CCR1	0.003071
CXCR4---ZG16B	0.003030
HLA-A---ERBB2	0.002963
HSP90AA1---EGFR	0.002942
IGF2---INSR	0.002897
KLRD1---HLA-B	0.002747
SPP1---ITGAV	0.002647
KIR2DL1---HLA-C	0.002501
ITGA5---FN1	0.002500
ITGB1---COL4A1	0.002399
COL4A1---ITGB1	0.002397
APP---CD74	0.002183
THBD---HMGB1	0.001966
CCL5---SDC4	0.001830
SORL1---APOE	0.001770
AREG---EGFR	0.001755
CANX---HLA-B	0.001747
DCN---EGFR	0.001735
LRP1---APOE	0.001680
C1QB---LRP1	0.001647
CCL3---CCR1	0.001618
RPS19---C5AR1	0.001608
ITGB1---CD14	0.001535
ITGB2---CTGF	0.001529
PGF---FLT1	0.001517
CXCL2---DPP4	0.001489
FN1---SDC2	0.001429
HLA-B---KLRD1	0.001307
CD44---VCAN	0.001244
ITGB1---COL1A2	0.001239
PLA2G2A---ITGB1	0.001215
KIR2DL4---HLA-G	0.001208
HMGB1---THBD	0.001201
APLP2---HLA-A	0.001159
TGM2---ITGB1	0.001141
ANXA1---EGFR	0.001137
ITGA4---SPP1	0.001076
ITGA5---PLA2G2A	0.001048
ITGB1---COL6A2	0.001022
APOE---LRP1	0.001010
FN1---ITGAV	0.001003
GSTP1---TRAF2	0.001001
CD44---HGF	0.000996
MDK---SDC4	0.000995
LTB---LTBR	0.000985
CYR61---ITGA5	0.000973
CD36---COL1A1	0.000903
ITGB1---COL4A2	0.000866
HSPG2---ITGB1	0.000863
SERPINE2---LRP1	0.000861
COL4A2---ITGB1	0.000838
IGF2---IGF1R	0.000808
COL6A2---ITGB1	0.000793
LTB---TNFRSF1A	0.000781
KLRD1---HLA-E	0.000780
IL1B---IL1RAP	0.000728
CD47---TYROBP	0.000728
CCL5---ACKR2	0.000719
FPR1---ANXA1	0.000713
ITGA5---COL1A1	0.000652
PSAP---LRP1	0.000642
PTGDR---GNAS	0.000620
C3---CD46	0.000602
SDC2---MMP2	0.000572
TYROBP---SEMA6D	0.000541
APOE---SORL1	0.000541
ITGB1---TGM2	0.000535
RPSA---LAMA2	0.000533
INSR---IGF2	0.000532
FPR3---ANXA1	0.000528
GZMB---IGF2R	0.000527
ITGB1---F13A1	0.000521
CD93---COL1A1	0.000508
DCN---MET	0.000503
ABCA1---PLTP	0.000501
PLAUR---VTN	0.000494
ITGB1---LGALS3BP	0.000485
HLA-A---LILRB1	0.000446
ITGA4---PLA2G2A	0.000422
FN1---MAG	0.000418
HLA-E---KLRC1	0.000414
SPP1---ITGA9	0.000409
CYR61---ITGB2	0.000402
PTGS2---CAV1	0.000399
IL1B---IL1R1	0.000383
CALR---LRP1	0.000380
SORL1---LRPAP1	0.000365
HLA-C---LILRB1	0.000364
LDLR---LRPAP1	0.000364
SPP1---ITGB3	0.000361
SDC2---TGFB1	0.000359
AREG---ERBB3	0.000347
CCR1---CCL4	0.000347
IL1B---IL1R2	0.000328
KIR3DL1---HLA-B	0.000324
SERPINE1---LRP1	0.000311
NOTCH4---DLK1	0.000308
CCR6---DEFB1	0.000298
CD36---COL1A2	0.000293
CD14---ITGB1	0.000293
ITGA4---FN1	0.000288
NT5E---FN1	0.000288
CYR61---ITGB5	0.000285
NOTCH2---DLK1	0.000282
TGFB1---EGFR	0.000278
ITGB2---HP	0.000273
LAMA2---RPSA	0.000271
TRAF2---GSTP1	0.000271
CD93---COL1A2	0.000271
VCAM1---ITGB1	0.000269
SERPING1---LRP1	0.000267
FCGRT---ALB	0.000262
LDLR---APOE	0.000262
ITGA5---CTGF	0.000261
HLA-B---LILRB1	0.000253
TNFRSF1B---GRN	0.000252
TGM2---SDC4	0.000247
LRP1---TFPI	0.000243
KLRB1---CLEC2D	0.000237
FN1---ITGB5	0.000231
RPSA---LAMB2	0.000227
ITGA5---CYR61	0.000223
ITGAM---CYR61	0.000223
IGF2---IGF2R	0.000221
CD93---C1QA	0.000216
FN1---TNFRSF11B	0.000215
C1QA---CD93	0.000209
CTGF---ITGA5	0.000209
GNAI2---EGFR	0.000207
IGF2---IDE	0.000206
TIMP3---KDR	0.000201
HLA-B---LILRB2	0.000199
F13A1---ITGB1	0.000186
PLA2G2A---ITGA5	0.000179
ITGAV---CALR	0.000179
GNAI2---CAV1	0.000172
ITGB1---ADAM12	0.000171
C3---ITGAX	0.000169
CCL3---IDE	0.000169
APP---CAV1	0.000166
IGF2R---IGF2	0.000165
ITGB1---PLA2G2A	0.000164
TGFB1---ENG	0.000164
EREG---EGFR	0.000162
ATP6AP2---REN	0.000159
MAG---FN1	0.000152
CCR1---CCL3	0.000151
CTGF---ITGB2	0.000147
LILRB2---HLA-B	0.000144
APOE---LRP2	0.000143
HSP90AA1---FGFR3	0.000142
CCL3---CCR5	0.000142
CCL3L3---CCR1	0.000140
CCL2---ACKR2	0.000136
ITGAV---FN1	0.000136
TFPI---LRP1	0.000136
CD93---COL4A1	0.000135
VCAN---EGFR	0.000134
COL3A1---ITGB1	0.000131
ITGB1---CXCL12	0.000129
LRP1---SERPINE2	0.000129
CSF2---CSF3R	0.000129
THBS1---ITGB1	0.000127
LGALS3BP---ITGB1	0.000127
ITGB2---C3	0.000120
LRP1---CTGF	0.000120
ENG---TGFB1	0.000118
PTMA---VIPR1	0.000118
APOE---SCARB1	0.000114
TNFSF12---TNFRSF12A	0.000113
COL1A1---ITGB1	0.000106
VCAN---CD44	0.000100
LILRB2---HLA-G	0.000097
CCL3L3---ACKR2	0.000094
ITGB1---LAMB1	0.000091
ITGB1---CDH1	0.000091
EFEMP1---EGFR	0.000089
CSH1---PRLR	0.000084
ITGB1---COL6A1	0.000082
SDC3---MDK	0.000076
DKK1---LRP5	0.000076
TNFRSF14---MIF	0.000068
PLTP---ABCA1	0.000068
ITGB1---TIMP2	0.000061
RAMP2---ADM	0.000052
COL1A1---ITGA5	0.000046
LRP1---C1QB	0.000045
CALR---ITGA3	0.000045
COL6A3---ITGB1	0.000044
ACKR2---CCL3	0.000041
MDK---SDC1	0.000037
PLAUR---PLAU	0.000026
ANXA1---FPR1	0.000024
VCAM1---ITGB2	0.000022
SPP1---S1PR1	0.000020
EBI3---IL6ST	0.000019
PGF---NRP1	0.000016
ITGB1---VTN	0.000015
IL1B---ADRB2	0.000012
BGN---TLR4	0.000012
TNFRSF1A---GRN	0.000009
GRN---TNFRSF1A	0.000007

dNK2---Monocytes	q-value: 0.79143

Ligand---Receptor	contribution
KLRD1---HLA-B	0.081170
C5AR1---RPS19	0.076915
KLRC1---HLA-E	0.042673
CD44---VIM	0.042345
CD63---TIMP1	0.039725
HLA-A---APLP2	0.032108
HLA-B---CANX	0.030231
TIMP1---CD63	0.026535
RPS19---C5AR1	0.023730
VIM---CD44	0.023726
FN1---ITGA5	0.014385
KIR2DL3---HLA-C	0.013920
FN1---ITGB1	0.013173
CANX---HLA-B	0.012411
KLRD1---HLA-E	0.012320
CD44---VCAN	0.011164
SPP1---CD44	0.010654
SPP1---ITGA5	0.010368
KIR2DL1---HLA-C	0.010330
TYROBP---CD47	0.010126
CD47---TYROBP	0.010126
KIR3DL1---HLA-B	0.009494
HLA-A---LILRB2	0.008458
ITGB1---COL3A1	0.007873
HLA-B---LILRB2	0.007659
SPP1---ITGB1	0.007628
CD44---COL1A1	0.006856
ITGB1---COL1A1	0.006764
CD2---CD48	0.006588
PLAUR---FN1	0.005760
KLRC1---HLA-G	0.005617
APLP2---HLA-A	0.004988
ITGB1---CD14	0.004654
LILRB2---HLA-B	0.004381
APP---CD74	0.004255
KIR3DL1---HLA-A	0.003907
ITGB1---VCAN	0.003524
FLT1---PGF	0.003519
LTB---TNFRSF1A	0.003302
LILRB1---HLA-B	0.003226
PTMA---VIPR1	0.003197
HLA-B---LILRB1	0.003146
PLAUR---ITGB1	0.003025
FN1---CD44	0.002924
LILRB2---HLA-A	0.002848
FN1---PLAUR	0.002632
HLA-C---LILRB2	0.002502
PGF---FLT1	0.002354
HLA-A---ERBB2	0.002307
ITGB1---FBLN1	0.002274
GNAI2---CAV1	0.002247
ITGA5---COL1A1	0.002216
KLRD1---HLA-G	0.002160
DCN---EGFR	0.002096
CD44---FN1	0.002095
PTGS2---CAV1	0.002084
B2M---ALB	0.002055
FBLN1---ITGB1	0.001811
HLA-A---LILRB1	0.001760
FN1---TNFRSF11B	0.001754
CD74---APP	0.001731
CCL4---CCR1	0.001719
ITGB2---ICAM3	0.001668
CD44---COL1A2	0.001584
HLA-C---LILRB1	0.001580
CD44---SPP1	0.001555
IGF2---IGF1R	0.001548
LILRB2---HLA-C	0.001533
AREG---ERBB3	0.001512
ANXA1---FPR2	0.001435
LILRB1---HLA-A	0.001424
SDC2---FN1	0.001396
CD14---ITGB1	0.001314
THBS1---ITGB1	0.001314
ITGB1---FN1	0.001187
CCL4---ACKR2	0.001137
FPR1---ANXA1	0.001069
CYR61---ITGA5	0.001042
SERPINE2---LRP1	0.001028
TIMP2---ITGB1	0.001021
CLEC2B---KLRF1	0.001021
ITGB1---ADAM17	0.001021
KLRC2---HLA-E	0.001021
ITGB2---CYR61	0.000997
APOE---LRP1	0.000962
APOE---SCARB1	0.000962
APOE---VLDLR	0.000962
COL4A1---ITGB1	0.000924
ITGB1---COL1A2	0.000897
IL1B---IL1R1	0.000855
IGF2---IGF2R	0.000831
CXCL2---DPP4	0.000802
TGM2---ITGB1	0.000801
CTGF---ITGA5	0.000797
ITGB1---COL4A1	0.000764
INSR---IGF2	0.000754
FPR3---ANXA1	0.000706

dNK2---NK	q-value: 0.79143

Ligand---Receptor	contribution
KLRD1---HLA-B	0.167652
KIR2DL3---HLA-C	0.126812
KIR2DL1---HLA-C	0.101449
TNFRSF1A---LTB	0.088369
KIR3DL1---HLA-B	0.072464
KIR3DL1---HLA-A	0.047101
KLRC1---HLA-E	0.043497
CD14---ITGB1	0.027190
CANX---HLA-B	0.021903
LILRB1---HLA-B	0.021903
KLRD1---HLA-E	0.018127
CD44---VIM	0.018127
TYROBP---CD47	0.016304
CD63---TIMP1	0.016304
LILRB1---HLA-C	0.014350
F13A1---ITGB1	0.012085
TNF---TNFRSF1B	0.008454
APLP2---HLA-A	0.007850

dNK2---NK_CD16+	q-value: 0.79143

Ligand---Receptor	contribution
KLRC1---HLA-E	0.093602
CD44---VIM	0.085045
KLRD1---HLA-B	0.079687
HLA-B---KLRD1	0.044957
HLA-A---APLP2	0.037227
VIM---CD44	0.034740
CANX---HLA-B	0.032185
HLA-B---CANX	0.029105
KLRD1---HLA-E	0.021413
C5AR1---RPS19	0.019466
KIR2DL1---HLA-C	0.018212
KIR2DL3---HLA-C	0.018211
CD2---CD48	0.015824
SPP1---ITGB1	0.014333
SPP1---CD44	0.013326
HLA-B---KIR3DL1	0.012209
CD14---ITGB1	0.011159
TIMP1---CD63	0.010275
HLA-E---KLRD1	0.010128
SPP1---ITGA4	0.010047
CD74---APP	0.009667
XCL1---XCR1	0.009272
CCL20---CXCR3	0.008963
HLA-A---KIR3DL1	0.008950
TYROBP---CD47	0.008218
SPP1---S1PR1	0.007905
HLA-B---LILRB1	0.007652
XCL2---XCR1	0.007455
CCL5---CXCR3	0.006857
ITGB2---ICAM3	0.006751
KLRC2---HLA-E	0.006415
CD63---TIMP1	0.005804
APLP2---HLA-A	0.005567
HLA-A---LILRB1	0.005178
PLAUR---ITGB1	0.005047
CD47---TYROBP	0.004759
CD44---VCAN	0.003538
LTB---LTBR	0.003439
BST2---LILRA4	0.003429
HLA-A---LILRB2	0.003349
HLA-B---LILRB2	0.002871
HLA-A---KIR3DL2	0.002847
TLR4---S100A9	0.002688
CLEC2B---KLRF1	0.002683
THBS1---ITGB1	0.002524
HLA-C---KIR2DL3	0.002475
HLA-C---LILRB2	0.002392
KLRB1---CLEC2D	0.002290
KIR3DL1---HLA-B	0.002217
HLA-C---KIR2DL1	0.002126
CD44---SPP1	0.001980
LILRB1---HLA-B	0.001909
HLA-C---LILRB1	0.001813
ICAM3---ITGB2	0.001806
LILRB2---HLA-B	0.001735
CD44---LGALS9	0.001708
TNF---TNFRSF21	0.001618
MICA---HCST	0.001587
C1QA---CD93	0.001547
PSAP---LRP1	0.001420
CCR5---CCL5	0.001290
LTB---TNFRSF1A	0.001286
TNFRSF1A---LTB	0.001256
CD48---CD2	0.001256
LCK---CD8B	0.001240
HLA-E---KLRC1	0.001190
LILRB1---HLA-A	0.001120
IL15---IL2RG	0.001005
ANXA1---FPR1	0.000943
TLR4---S100A8	0.000796
F13A1---ITGA4	0.000743
F13A1---ITGB1	0.000743
KLRF1---CLEC2B	0.000666

dNK2---Plasma_cells	q-value: 0.79143

Ligand---Receptor	contribution
KLRD1---HLA-B	0.103939
VIM---CD44	0.057352
KLRC1---HLA-E	0.050303
HLA-B---KLRD1	0.043157
CD44---VIM	0.034614
KLRD1---HLA-E	0.034565
HLA-A---APLP2	0.026876
CD44---SPP1	0.025951
HLA-B---CANX	0.022369
TIMP1---CD63	0.016867
CD44---VCAN	0.015628
CD63---TIMP1	0.013942
RPS19---C5AR1	0.013840
HLA-E---KLRC1	0.013707
C5AR1---RPS19	0.013664
TYROBP---CD47	0.013037
HLA-E---KLRD1	0.011139
CANX---HLA-B	0.010353
ITGB1---SPP1	0.008568
APLP2---HLA-A	0.008194
KIR2DL3---HLA-C	0.007719
CD47---TYROBP	0.007714
KIR2DL1---HLA-C	0.007380
ITGB2---CYR61	0.007012
HLA-A---KIR3DL1	0.006670
CD44---COL1A2	0.006494
CD44---COL1A1	0.006055
SPP1---CD44	0.006007
PLAUR---FN1	0.005712
ITGB1---CD14	0.005288
HLA-C---KIR2DL1	0.004684
HLA-A---LILRB1	0.004613
HLA-A---LILRB2	0.004613
HLA-A---KIR3DL2	0.004490
LRP1---C1QB	0.004198
ITGB1---FBLN1	0.004155
ITGAV---CYR61	0.003895
ITGB5---CYR61	0.003895
CD44---LGALS9	0.003850
CCL5---CCR5	0.003527
ITGA5---CYR61	0.003466
SPP1---ITGB1	0.003432
PLAUR---ITGB1	0.003430
APOE---SORL1	0.003382
FPR1---ANXA1	0.003203
FN1---CD44	0.003148
CD44---FN1	0.002856
CD44---HGF	0.002856
HLA-B---LILRB1	0.002804
HLA-B---LILRB2	0.002804
ITGAX---C3	0.002660
CCR1---CCL3	0.002660
CD74---APP	0.002597
LRP1---APOE	0.002565
SORL1---APOE	0.002565
CCL5---CCR1	0.002486
CCL5---CXCR3	0.002486
HLA-B---KIR3DL1	0.002342
CCR5---CCL3	0.002253
CCR1---CCL3L3	0.002216
ITGB1---COL3A1	0.002078
ITGA4---SPP1	0.001923
CCR5---CCL4	0.001898
CALR---ITGAV	0.001773
CSF1---CSF1R	0.001773
AREG---EGFR	0.001731
CD2---CD48	0.001729
IL2RB---IL15	0.001558
CXCL2---DPP4	0.001517
LGALS9---CD44	0.001202
CD48---CD2	0.000692
TNFRSF1A---LTB	0.000432

dNK2---SCT	q-value: 0.79143

Ligand---Receptor	contribution
HLA-A---APLP2	0.080268
CD44---SPP1	0.069769
TIMP1---CD63	0.063258
C5AR1---RPS19	0.045147
ITGB1---SPP1	0.038083
HLA-B---CANX	0.029418
SPP1---ITGB1	0.026834
CD74---APP	0.025254
FN1---ITGB1	0.023458
CD44---FN1	0.017085
ITGA5---SPP1	0.014349
FN1---ITGA5	0.013499
SPP1---ITGA5	0.011947
TYROBP---CD47	0.011673
PLAUR---FN1	0.011339
KLRC1---HLA-G	0.010027
CD44---VIM	0.009425
CD44---COL1A1	0.009298
CD63---TIMP1	0.008166
CCL4---ACKR2	0.007929
FLT1---PGF	0.007894
ITGB1---FBLN1	0.007658
CCL3---ACKR2	0.007303
FBLN1---ITGB1	0.006584
ITGB1---FN1	0.006467
AREG---EGFR	0.006182
ITGB1---COL3A1	0.005962
B2M---ALB	0.005563
CD44---COL1A2	0.005096
HSP90AA1---EGFR	0.004850
KLRD1---HLA-G	0.004827
KLRC1---HLA-E	0.004774
PLAUR---ITGB1	0.003967
CCL4---CCR1	0.003931
CCL3---CCR1	0.003635
ITGB1---COL1A1	0.003621
FN1---PLAUR	0.003531
ANXA1---EGFR	0.003318
COL4A1---ITGB1	0.003097
SPP1---CD44	0.002552
ITGB2---CYR61	0.002376
KLRD1---HLA-B	0.002216
THBD---HMGB1	0.002082
IGF2---INSR	0.002016
ITGB1---COL4A1	0.001981
FPR3---ANXA1	0.001923
CD14---ITGB1	0.001890
ITGB1---COL6A2	0.001782
PLAUR---MMP12	0.001781
CYR61---ITGA5	0.001757
CD44---VCAN	0.001733
SDC2---FN1	0.001673
COL4A2---ITGB1	0.001663
ITGAV---SPP1	0.001629
CCL3L3---ACKR2	0.001628
PGF---FLT1	0.001607
TGM2---ITGB1	0.001604
ITGA5---FN1	0.001603
SPP1---ITGAV	0.001570
ITGA1---COL3A1	0.001524
ITGB1---TGM2	0.001481
ITGB1---COL1A2	0.001479
C1QB---LRP1	0.001448
FN1---SDC2	0.001407
ITGB7---FN1	0.001406
CXCL2---DPP4	0.001401
KIR2DL3---HLA-C	0.001373
ITGA4---SPP1	0.001370
FPR1---ANXA1	0.001341
DCN---EGFR	0.001340
ITGB1---CD14	0.001324
HLA-A---ERBB2	0.001289
PTGS2---CAV1	0.001258
TYROBP---SEMA6D	0.001151
SERPINE2---LRP1	0.001130
HMGB1---SDC1	0.001114
HSPG2---ITGB1	0.001109
APOE---LRP1	0.001084
KLRD1---HLA-E	0.001028
IGF2---IGF1R	0.001003
SPP1---S1PR1	0.001000
ITGA1---COL1A1	0.000955
CCL4---CCR3	0.000908
ITGA4---FN1	0.000900
MDK---SDC4	0.000811
ITGB1---COL4A2	0.000808
EREG---EGFR	0.000804
CCL3L3---CCR1	0.000796
KIR2DL1---HLA-C	0.000791
ITGB1---PLA2G2A	0.000770
ABCA1---PLTP	0.000729
ITGB1---COL6A1	0.000717
FN1---CD44	0.000710
ITGB1---LGALS3BP	0.000696
IGF2---IGF2R	0.000677
GSTP1---TRAF2	0.000639
RPS19---C5AR1	0.000574
IL1B---IL1RAP	0.000568
GNAI2---CAV1	0.000566
FN1---ITGAV	0.000544
PTGDR---GNAS	0.000540
COL6A2---ITGB1	0.000489
FN1---ITGB5	0.000483
SDC2---MMP2	0.000475
FN1---TNFRSF11B	0.000468
LRP1---APOE	0.000463
APOE---SCARB1	0.000462
TRAF2---GSTP1	0.000461
LDLR---LRPAP1	0.000449
CCL3---IDE	0.000448
SDC2---TGFB1	0.000443
CCL3---CCR5	0.000437
IGF2R---IGF2	0.000434
VIM---CD44	0.000425
RPSA---LAMB2	0.000403
VCAM1---ITGB1	0.000401
RPSA---LAMA1	0.000398
PSAP---LRP1	0.000392
ITGB1---FBN1	0.000379
APLP2---HLA-A	0.000377
CD93---C1QA	0.000375
CD81---GPC3	0.000375
RPSA---LAMA2	0.000369
SORL1---LRPAP1	0.000361
PLTP---ABCA1	0.000350
CD44---HGF	0.000324
ITGB1---F13A1	0.000323
TNFRSF14---MIF	0.000323
CD36---COL1A1	0.000317
CCL3---CCR3	0.000310
LILRB1---HLA-G	0.000309
ITGAV---CALR	0.000306
CD47---TYROBP	0.000305
CCL5---ACKR2	0.000304
AREG---ERBB3	0.000296
CCL5---CCR1	0.000295
ITGB1---ADAM12	0.000293
TGFB1---EGFR	0.000292
XCL2---XCR1	0.000285
LDLR---APOE	0.000280
F13A1---ITGB1	0.000279
LRP1---TFPI	0.000278
CTGF---ITGA5	0.000276
FN1---MAG	0.000273
LGALS3BP---ITGB1	0.000267
ITGB1---LAMC2	0.000257
APP---CD74	0.000253
GZMB---IGF2R	0.000251
KIR3DL1---HLA-B	0.000246
SORL1---APOE	0.000241
GNAI2---EGFR	0.000239
ITGB5---FN1	0.000218
ITGB1---PLAUR	0.000217
CCL4---CCR5	0.000209
ITGA5---CYR61	0.000205
CCL5---SDC4	0.000203
CSH1---PRLR	0.000195
TNFRSF1B---GRN	0.000195
LTB---LTBR	0.000193
IL22---IL10RB	0.000190
CD93---COL1A1	0.000188
KLRC2---HLA-E	0.000186
ITGB2---F11R	0.000182
KIR2DL4---HLA-G	0.000180
KIR3DL1---HLA-A	0.000173
ITGA1---COL1A2	0.000159
VCAN---ITGB1	0.000156
ANXA1---FPR1	0.000155
ITGB1---CDH1	0.000151
APOE---LRP2	0.000150
LAMB2---RPSA	0.000149
CANX---HLA-B	0.000147
APOE---LRP5	0.000144
CALR---ITGAV	0.000142
CD44---COL14A1	0.000139
ITGA1---COL6A2	0.000138
TIMP2---ITGB1	0.000138
ITGB1---HSPG2	0.000137
IL1B---IL1R1	0.000136
GZMB---CHRM3	0.000131
MMP2---SDC2	0.000130
IFNL1---IL10RB	0.000127
HLA-B---KLRD1	0.000124
NOTCH4---DLK1	0.000120
IL10---IL10RB	0.000113
PLAUR---VTN	0.000107
ITGB1---COL14A1	0.000107
IGF2---IDE	0.000106
ADAM15---ITGB1	0.000100
CALR---LRP1	0.000097
INSR---IGF2	0.000093
CD93---COL1A2	0.000092
ITGB1---LAMC1	0.000090
MDK---SDC1	0.000089
ICAM1---EGFR	0.000087
VCAN---EGFR	0.000087
ITGB1---ADAM15	0.000084
CYR61---ITGB2	0.000083
APP---CAV1	0.000083
TNFSF12---TNFRSF12A	0.000082
TGM2---SDC4	0.000079
LRP1---CALR	0.000076
DCN---MET	0.000072
APOE---LDLR	0.000072
PTGIR---GNAS	0.000065
C5AR1---GNAI2	0.000064
CTGF---ITGB2	0.000064
ITGAV---FN1	0.000054
CCL2---ACKR2	0.000054
COL1A2---CD36	0.000033
ICAM3---ITGB2	0.000028
ITGA4---CD14	0.000026
COL1A1---CD36	0.000024
CD44---HBEGF	0.000020
CD44---LGALS9	0.000017
GRN---TNFRSF1B	0.000014

dNK2---T_cells	q-value: 0.79143

Ligand---Receptor	contribution
KLRD1---HLA-B	0.076868
CD44---VIM	0.061652
KLRC1---HLA-E	0.058659
HLA-B---KLRD1	0.056182
VIM---CD44	0.054145
C5AR1---RPS19	0.039661
HLA-A---APLP2	0.029086
KIR2DL3---HLA-C	0.028885
KIR2DL1---HLA-C	0.027092
SPP1---CD44	0.020996
HLA-B---CANX	0.020184
HLA-E---KLRC1	0.019812
CANX---HLA-B	0.019750
KLRD1---HLA-E	0.018143
TYROBP---CD47	0.015663
HLA-E---KLRD1	0.011986
RPS19---C5AR1	0.011536
APLP2---HLA-A	0.010409
CD63---TIMP1	0.010310
SPP1---ITGB1	0.008894
CD47---TYROBP	0.008672
KIR3DL1---HLA-B	0.008006
HLA-C---KIR2DL3	0.007932
CD44---VCAN	0.006894
KIR3DL1---HLA-A	0.006126
PLAUR---ITGB1	0.004789
HLA-A---KIR3DL2	0.004747
HLA-A---LILRB2	0.004685
HLA-C---KIR2DL1	0.004665
TIMP1---CD63	0.004325
CCL4---CCR1	0.004306
HLA-B---LILRB2	0.004234
CD2---CD48	0.004080
SPP1---ITGA4	0.004010
LILRB1---HLA-A	0.003620
LILRB1---HLA-B	0.003534
ITGB1---CD14	0.003285
KLRC2---HLA-E	0.003258
APP---CD74	0.003114
HLA-B---LILRB1	0.003097
SPP1---ITGA5	0.002942
LILRB1---HLA-C	0.002845
HLA-A---LILRB1	0.002720
PLA2G2A---ITGB1	0.002686
CCL3---CCR1	0.002681
CCR5---CCL4	0.002610
CLEC2D---KLRB1	0.002585
HLA-C---LILRB2	0.002540
CD74---APP	0.002393
HLA-E---KLRC2	0.002355
LILRB2---HLA-B	0.002322
ITGB2---ICAM3	0.002106
CD44---LGALS9	0.002019
ITGB1---VCAN	0.001951
HLA-A---KIR3DL1	0.001892
HLA-C---LILRB1	0.001780
KLRB1---CLEC2D	0.001698
CD14---ITGB1	0.001381
GZMB---CHRM3	0.001380
CCR1---CCL4	0.001343
ICAM3---ITGB2	0.001318
KIR3DL2---HLA-A	0.001294
CCL5---CXCR3	0.001198
ITGB1---PLAUR	0.001188
ANXA1---FPR1	0.001178
LILRB2---HLA-C	0.001155
CCR1---CCL3	0.001062
VCAN---ITGB1	0.001012
CCL5---CCR1	0.000990
VCAN---CD44	0.000908
COL6A2---ITGB1	0.000899
THBS1---ITGB1	0.000858
HLA-B---KIR3DL1	0.000848
CD40---LTB	0.000827
GZMB---IGF2R	0.000815
C3---ITGB2	0.000792
CD44---FN1	0.000786
TGM2---ITGB1	0.000774
APOE---LRP1	0.000761
SPP1---S1PR1	0.000725
SIGLEC10---CD52	0.000725
C1QB---LRP1	0.000689
FPR1---ANXA1	0.000673
CYR61---ITGB2	0.000672
LTB---TNFRSF1A	0.000670
CCR5---CCL3	0.000670
IDE---CCL3	0.000670
PTMA---VIPR1	0.000669
TNFRSF1A---LTB	0.000643
ITGA4---VCAN	0.000642
CCL3---CCR5	0.000628
MIF---TNFRSF14	0.000612
ACKR2---CCL4	0.000609
TRAF2---GSTP1	0.000603
CD48---CD2	0.000559
LGALS3BP---ITGB1	0.000557
CCL4---CCR5	0.000528
FPR3---ANXA1	0.000501
CCR1---CCL3L3	0.000496
FN1---ITGB1	0.000473
MMP9---CD44	0.000471
CLEC2B---KLRF1	0.000463
COL3A1---ITGB1	0.000449
KLRC1---HLA-G	0.000449
CD52---SIGLEC10	0.000435
ITGB2---ICAM2	0.000433
ITGB1---FBLN1	0.000412
COL4A2---ITGB1	0.000402
HLA-A---ERBB2	0.000390
KLRD1---HLA-G	0.000385
LGALS9---CD44	0.000381
PLAUR---ITGA4	0.000367
CCL5---CCR5	0.000367
LAMA2---RPSA	0.000364
IL1B---IL1RAP	0.000356
ITGB1---COL1A1	0.000349
HBEGF---CD44	0.000342
TIMP2---ITGB1	0.000342
IL2RB---IL15	0.000340
GRN---TNFRSF1A	0.000334
LILRB2---HLA-A	0.000331
ACKR2---CCL3	0.000327
C5AR1---GNAI2	0.000326
FBLN1---ITGB1	0.000321
SELPLG---SELL	0.000305
ITGAD---ICAM3	0.000300
C1QA---CD93	0.000300
APOE---SORL1	0.000290
ITGB1---PLA2G2A	0.000285
F13A1---ITGB1	0.000275
PSAP---LRP1	0.000266
CD44---HBEGF	0.000266
CXCR4---CXCL12	0.000262
CD44---HGF	0.000262
HCST---MICB	0.000260
CD40LG---ITGB1	0.000258
CXCR3---CCL5	0.000258
ITGB1---TGM2	0.000254
LAMB2---RPSA	0.000250
ITGAV---CYR61	0.000246
ITGB2---CYR61	0.000246
MICB---HCST	0.000240
HCST---MICA	0.000232
ICAM2---ITGB2	0.000231
ITGB1---CD40LG	0.000219
CTGF---ITGB2	0.000202
THBD---HMGB1	0.000195
ULBP2---HCST	0.000184
ICAM1---ITGB2	0.000183
CD14---ITGA4	0.000149
ADAM15---ITGB1	0.000148
ICAM1---IL2RG	0.000140

dNK2---VCT	q-value: 0.79143

Ligand---Receptor	contribution
HLA-A---APLP2	0.111982
CD44---SPP1	0.083383
ITGB1---SPP1	0.080012
TIMP1---CD63	0.039772
CD74---APP	0.036343
ITGA5---SPP1	0.030313
HLA-B---CANX	0.028258
C5AR1---RPS19	0.027223
SPP1---ITGB1	0.025087
TYROBP---CD47	0.016007
CD44---COL1A1	0.013701
PLAUR---FN1	0.012711
CD44---VIM	0.012102
CD44---FN1	0.010661
ITGB1---FBLN1	0.009252
CD63---TIMP1	0.008737
FN1---ITGB1	0.008526
CD44---COL1A2	0.008434
AREG---EGFR	0.007462
ANXA1---EGFR	0.007276
