endocrine---endocrine	q-value: 0
HMGB1---THBD	0.000006
GPC1---VEGFA	0.000006
GNAI2---OPRD1	0.000006
COL3A1---DDR1	0.000006
COL1A1---CD44	0.000005
HLA-A---ERBB2	0.000005
ITGAV---FGB	0.000005
GNAI2---ADCY1	0.000005
ADAM15---ITGAV	0.000005
ENG---INHBA	0.000005
LRP1---SERPINA1	0.000005
EPHB2---EFNA5	0.000004
BMP2---BMPR2	0.000004
ITGB4---LAMC2	0.000004
ITGA6---LAMB1	0.000004
BMP2---BMPR1A	0.000003
CTGF---ITGA5	0.000003
C3---LRP1	0.000003
PTPRM---CDH1	0.000003
LAMC2---ITGA6	0.000003
LTB---LTBR	0.000003
ITGB1---COL1A1	0.000003
CALR---LRP1	0.000003
TMEM222---PRSS23	0.000003
CD44---FN1	0.000002
APP---LRP1	0.000002
MLLT4---PVRL2	0.000002
SEMA7A---PLXNC1	0.000002
TGM2---SDC4	0.000002
JAG1---CD46	0.000002
FGF2---SDC4	0.000002
TNFRSF19---RTN4	0.000002
SORT1---COPA	0.000002
CD44---VCAN	0.000002
ITGB1---COL4A1	0.000002
GPR37L1---PSAP	0.000002
PTMA---VIPR1	0.000002
DSG2---DSC2	0.000002
EPHA2---EFNA1	0.000001
LAMC1---ITGAV	0.000001
THBS1---ITGAV	0.000001
ITGB1---FN1	0.000001
BMP2---BMPR1B	0.000001
SORT1---LRPAP1	0.000001
CTGF---LRP6	0.000001
GNAI2---PTPRU	0.000001
CTGF---LRP1	0.000001
BMP2---ACVR1	0.000001
IGF1R---GNAI2	0.000001
PRSS23---TMEM222	0.000001
MLLT4---F11R	0.000001
ITGA2---LAMA1	0.000001
IGF2---IGF2R	0.000001
TGFB2---TGFBR3	0.000001
ITGA2---FN1	0.000001
PSAP---LRP1	0.000001
RTN4---CNTNAP1	0.000001
BMPR2---BMP5	0.000001
ITGA2---COL9A2	0.000001
HBEGF---CD9	0.000001
INSR---SORBS1	0.000001
EPHB4---EFNB2	0.000001
GNAS---VIPR1	0.000001
EPHA2---EFNA3	0.000001
TNC---ITGAV	0.000001
MLLT4---PVRL1	0.000001
THBS1---LRP5	0.000001
EPHB2---EFNB2	0.000000
MLLT4---PVRL3	0.000000
HBEGF---ERBB4	0.000000
TGFA---ERBB4	0.000000
TGFB2---ACVR1	0.000000
CD82---HBEGF	0.000000
MLLT4---NRXN3	0.000000
A2M---LRP1	0.000000
AANAT---MTNR1A	0.000000
AANAT---MTNR1B	0.000000
ACE---AGTR2	0.000000
ACE---BDKRB2	0.000000
ADAM10---AXL	0.000000

exocrine---endothelial	q-value: 0.66866

Ligand---Receptor	contribution
CD63---TIMP1	0.105337
ITGB1---HSPG2	0.033733
ITGB1---COL4A1	0.020221
ITGB1---THBS1	0.019815
ITGB1---COL15A1	0.019334
CD44---VIM	0.017185
CANX---HLA-B	0.015877
ITGB1---COL18A1	0.015511
LAMC2---ITGB1	0.014796
ITGB1---COL13A1	0.012822
ITGB1---COL6A2	0.012353
INS---INSR	0.012057
APLP2---HLA-A	0.011739
ITGB1---COL6A1	0.010229
ITGA2---HSPG2	0.009867
TIMP1---CD63	0.009814
INSR---INS	0.009774
CYR61---ITGA5	0.008677
ITGB1---LAMC1	0.007594
TNFRSF21---APP	0.007575
CDH1---ITGA2	0.007249
CTGF---ITGA5	0.006598
HLA-B---CANX	0.006111
BMP2---ENG	0.005928
CDH1---ITGB1	0.005892
TNC---ITGA5	0.005676
HLA-A---APLP2	0.005486
VEGFA---FLT1	0.005430
ITGA3---CALR	0.005320
HMGB1---THBD	0.004971
ITGB1---VCAM1	0.004559
SEMA7A---ITGB1	0.004558
ITGA3---THBS1	0.004440
ITGB1---COL1A1	0.004370
VEGFA---KDR	0.004351
NAMPT---INSR	0.004284
ITGA2---COL4A1	0.004068
TGM2---ITGB1	0.003868
ARF1---INSR	0.003546
ITGB1---SEMA7A	0.003525
ITGB1---LAMB1	0.003176
ITGB1---CXCL12	0.003084
CD44---MMP1	0.003065
COL18A1---ITGA5	0.002964
ITGA2---COL6A2	0.002727
TGFB2---ENG	0.002514
ITGB1---ADAM17	0.002505
ITGB1---TGM2	0.002442
ITGA2---MMP1	0.002370
PLAUR---ITGB1	0.002342
SPP1---ITGA5	0.002341
ITGA2---COL15A1	0.002239
ITGA2---COL18A1	0.002233
ST14---PLAU	0.002194
TNC---ITGB1	0.002059
ITGB1---TIMP2	0.002003
ITGA2---COL13A1	0.001994
VEGFA---NRP2	0.001959
ITGB1---ADAM9	0.001689
PLAUR---PLAU	0.001656
COL18A1---KDR	0.001531
ITGB1---COL6A3	0.001494
ADAM15---ITGA5	0.001381
ITGA2---COL6A1	0.001332
INS---IGF1R	0.001259
INSR---ARF1	0.001231
ITGB1---PLAUR	0.001190
MMP7---CD44	0.001168
SDC1---THBS1	0.001163
COL18A1---ITGB1	0.001087
SEMA7A---ITGA1	0.001030
ITGB1---COL3A1	0.000990
ITGA2---LAMC1	0.000956
VEGFA---NRP1	0.000942
MMP7---CD151	0.000895
ITGB1---COL27A1	0.000851
ITGB1---VCAN	0.000827
SDC4---MDK	0.000807
IGF1R---INS	0.000765
SST---SSTR1	0.000762
SST---SSTR2	0.000762
SST---SSTR3	0.000762
MIF---TNFRSF10D	0.000759
LGALS3BP---ITGB1	0.000703
CALR---ITGAV	0.000684
SDC1---HMGB1	0.000676
IDE---INS	0.000673
ITGAV---CALR	0.000636
ITGB1---FBN1	0.000612
APP---CD74	0.000580
SPP1---ITGB1	0.000567
MIF---TNFRSF14	0.000563
ITGA5---CYR61	0.000526
SDC4---TGM2	0.000520
LTB---TNFRSF1A	0.000504
TNFRSF12A---TNFSF12	0.000494
SDC4---FGF2	0.000486
ITGB1---ADAM15	0.000482
VCAM1---ITGB1	0.000472
ADAM15---ITGB1	0.000466
CD74---APP	0.000436
HSPG2---ITGB1	0.000426
ADAM9---ITGB1	0.000419
COL18A1---ITGA2	0.000397
CD44---COL1A1	0.000378
ITGB1---FN1	0.000373
SERPINA1---LRP1	0.000373
CYR61---ITGAV	0.000344
EPHB2---VEGFA	0.000334
TNC---PTPRB	0.000319
SPP1---ITGAV	0.000317
CD44---VCAN	0.000302
ITGA6---THBS1	0.000300
ITGA5---COL18A1	0.000291
EDN1---EDNRB	0.000286
CSF2---IL3RA	0.000283
HSPG2---ITGA2	0.000278
HBEGF---CD9	0.000274
CAV1---APP	0.000268
CD47---THBS1	0.000267
LAMC2---ITGA6	0.000266
ITGA5---ADAM17	0.000265
TNFRSF14---MIF	0.000258
NCSTN---APP	0.000257
LIF---IL6ST	0.000231
TGFB1---ENG	0.000222
CD44---HBEGF	0.000221
ADM---RAMP2	0.000215
FGF2---ITGAV	0.000213
ITGA2---COL27A1	0.000213
ITGA2---COL1A1	0.000210
TNF---TNFRSF1A	0.000181
DDR1---TTR	0.000180
ITGB1---COL1A2	0.000178
COL1A1---CD93	0.000172
GPC1---VEGFA	0.000172
IL6ST---IL11	0.000166
INHBA---ENG	0.000159
ITGB1---COL7A1	0.000157
LAMC2---ITGA3	0.000151
ADAM17---ITGA5	0.000150
CDH1---IGF1R	0.000148
LRP5---THBS1	0.000144
ITGA2---FN1	0.000138
CD44---FN1	0.000136
ANXA1---DYSF	0.000133
EGFR---GNAI2	0.000121
ITGB1---SPP1	0.000117
INS---IDE	0.000116
HBEGF---CD82	0.000113
SPP1---S1PR1	0.000113
CDH1---PTPRM	0.000110
PLAUR---ITGAV	0.000108
COL4A1---CD93	0.000106
APP---NCSTN	0.000104
EFNA1---EPHA2	0.000102
TMEM222---PRSS23	0.000102
FGF2---NRP1	0.000101
ITGA6---LAMC1	0.000100
TGFB3---ENG	0.000100
TNFRSF11B---THBS1	0.000100
COL6A3---ITGA2	0.000094
FZD8---IGFBP4	0.000092
EPHA2---EFNA1	0.000089
COL18A1---ITGA1	0.000088
ERBB2---HLA-A	0.000088
TIMP2---ITGB1	0.000088
COL27A1---ITGB1	0.000088
HSPG2---COL13A1	0.000086
EGFR---ANXA1	0.000084
ALB---B2M	0.000083
ITGA2---COL6A3	0.000081
CD44---FGF2	0.000081
ITGB1---LAMC2	0.000079
NOTCH3---JAG1	0.000078
THBS1---ITGB1	0.000078
RPSA---LAMB2	0.000078
ITGA2---COL3A1	0.000078
EGFR---ICAM1	0.000075
ITGA5---FBN1	0.000074
PDGFC---KDR	0.000074
LAMC1---ITGB1	0.000072
COL1A1---ITGA5	0.000070
CALR---SCARF1	0.000070
ITGAV---THBS1	0.000068
LAMC1---ITGA2	0.000068
INSR---IGF2	0.000065
VEGFB---KDR	0.000065
ITGA3---TIMP2	0.000064
ADORA1---GNAS	0.000061
ADRA2B---GNAI2	0.000058
PLAT---LRP1	0.000058
ITGB1---CSPG4	0.000056
CHAD---ITGA2	0.000051
LRP1---CALR	0.000050
CD46---JAG1	0.000049
FGF2---CD44	0.000048
APP---CAV1	0.000046
BAMBI---INHBA	0.000045
EGFR---VCAN	0.000039
TNFRSF1A---GRN	0.000029
FGF2---SDC3	0.000015
CD44---LGALS9	0.000008
GRN---TNFRSF1A	0.000006

exocrine---exocrine	q-value: 0.66866

Ligand---Receptor	contribution
ITGB1---LAMC2	0.057303
LAMC2---ITGB1	0.052599
ITGB1---CDH1	0.028771
TGM2---ITGB1	0.025293
CDH1---ITGB1	0.024959
CD44---VIM	0.022607
ITGB1---PLAUR	0.022427
VIM---CD44	0.019597
PLAUR---ITGB1	0.019123
MMP7---CD44	0.018823
TIMP1---CD63	0.018515
ITGB1---TGM2	0.016663
SEMA7A---ITGB1	0.016500
ITGB1---SEMA7A	0.015885
CD63---TIMP1	0.014609
CD44---MMP7	0.013567
SPP1---ITGB1	0.009340
ITGB1---LGALS3BP	0.007929
ITGB1---VCAM1	0.007911
HLA-B---CANX	0.007720
ITGB1---SPP1	0.007685
CANX---HLA-B	0.007610
APLP2---HLA-A	0.007423
TNC---ITGB1	0.007095
HLA-A---APLP2	0.006691
VCAM1---ITGB1	0.006560
ITGB1---TNC	0.006014
LGALS3BP---ITGB1	0.005978
SPP1---CD44	0.005229
ITGB1---HSPG2	0.004987
TGM2---SDC4	0.004962
ADAM9---ITGB1	0.004865
CD44---SPP1	0.004748
LAMC2---ITGA3	0.004616
ITGA3---LAMC2	0.004053
ITGB1---ADAM9	0.003727
HSPG2---ITGB1	0.003722
SDC4---TGM2	0.003398
COL18A1---ITGB1	0.003077
DDR1---TTR	0.003027
ITGB1---COL18A1	0.002808
ITGA2---CDH1	0.002505
CD151---MMP7	0.002443
MMP7---CD151	0.002330
TIMP2---ITGB1	0.001796
CDH1---ITGA2	0.001615
LGALS9---CD44	0.001614
PLAU---PLAUR	0.001584
ITGA5---CYR61	0.001580
PLAU---ST14	0.001538
SPINT1---ST14	0.001409
ITGB1---TIMP2	0.001404
SPINK1---EGFR	0.001321
ALB---B2M	0.001240
CALR---ITGA3	0.001217
ITGB1---THBS1	0.001198
ITGB1---LAMC1	0.001115
CYR61---ITGA5	0.001103
ITGA6---LAMC2	0.001074
EGFR---SPINK1	0.001043
ST14---SPINT1	0.000978
HBEGF---CD44	0.000904
CDH1---PTPRF	0.000900
FGF2---CD44	0.000895
TTR---DDR1	0.000867
B2M---ALB	0.000834
LAMC1---ITGB1	0.000796
PLAUR---PLAU	0.000794
SDC4---MDK	0.000749
THBS1---ITGB1	0.000676
CD44---HBEGF	0.000660
ADAM17---ITGB1	0.000647
SPP1---ITGA5	0.000616
FGF2---SDC4	0.000605
LIF---IL6ST	0.000588
ST14---PLAU	0.000563
INS---INSR	0.000558
ITGA5---SPP1	0.000550
MDK---SDC4	0.000525
ITGA3---CALR	0.000521
ITGA5---CTGF	0.000515
ITGB1---LAMA3	0.000495
TNFRSF1A---LTB	0.000489
PTPRF---CDH1	0.000488
IGF1R---INS	0.000475
LAMC2---ITGA6	0.000473
SDC4---FGF2	0.000465
INS---IGF1R	0.000465
ITGAV---SPP1	0.000462
CTGF---ITGA5	0.000436
CD44---FGF2	0.000428
ADAM15---ITGB1	0.000425
INSR---INS	0.000419
LAMA3---ITGB1	0.000406
COL1A1---ITGB1	0.000402
GCG---IDE	0.000389
ITGB1---COL6A1	0.000381
CD44---FN1	0.000380
EPHB2---VEGFA	0.000380
ITGB1---COL6A3	0.000375
LAMC2---ITGB4	0.000360
ITGB1---ADAM17	0.000341
ITGB1---COL1A1	0.000327
ITGB1---ADAM15	0.000322
VEGFA---EPHB2	0.000302
CYR61---ITGB5	0.000289
ITGAV---CYR61	0.000274
ITGB1---NPNT	0.000266
ITGA2---HSPG2	0.000265
CFTR---HSP90AA1	0.000264
ITGB5---CYR61	0.000239
INSR---NAMPT	0.000226
TNC---ITGA5	0.000222
ARF1---INSR	0.000218
CD44---COL1A1	0.000215
TNFRSF21---APP	0.000214
ITGB4---LAMC2	0.000205
INS---IDE	0.000204
ITGB1---COL6A2	0.000200
CYR61---ITGAV	0.000166
ITGB1---CXCL12	0.000165
SPP1---ITGAV	0.000164
ITGA2---COL18A1	0.000157
COL6A3---ITGB1	0.000153
CD14---ITGB1	0.000146
COL6A2---ITGB1	0.000145
INSR---ARF1	0.000140
CXCL12---ITGB1	0.000139
FN1---CD44	0.000136
NAMPT---INSR	0.000131
HSP90AA1---CFTR	0.000131
ITGA2---COL6A3	0.000129
NPNT---ITGB1	0.000123
PLAU---IGF2R	0.000123
COL1A1---CD44	0.000114
CDH1---EGFR	0.000109
ITGA5---TNC	0.000108
SDC1---MDK	0.000104
EGFR---HSP90AA1	0.000104
LRPAP1---LDLR	0.000101
LTBR---LTB	0.000099
LTB---TNFRSF1A	0.000097
LRP1---SERPINA1	0.000096
HMGB1---SDC1	0.000095
COL6A1---ITGB1	0.000089
APP---CD74	0.000085
ITGB1---FGG	0.000085
CXCR4---CEL	0.000084
ADAM9---ITGA6	0.000082
IGF2R---PLAU	0.000082
ITGA2---COL1A1	0.000081
FGFR1---FGF2	0.000081
ITGAV---PLAUR	0.000080
GNAI2---CAV1	0.000078
EGFR---CDH1	0.000078
LAMB1---ITGB1	0.000077
ITGA5---COL18A1	0.000075
LIF---LIFR	0.000074
ITGA2---LAMC1	0.000072
TNFRSF10D---MIF	0.000072
GRN---TNFRSF1A	0.000072
C3---CD46	0.000070
ITGA6---ADAM9	0.000068
CAV1---APP	0.000067
LRP1---PSAP	0.000066
SST---SSTR2	0.000064
ADAM9---ITGA3	0.000063
CD82---HBEGF	0.000063
HLA-A---ERBB2	0.000063
ITGB1---COL5A3	0.000061
DSG2---DSC2	0.000060
LDLR---LRPAP1	0.000060
ITGB1---VTN	0.000054
ITGB1---FN1	0.000052
TNFRSF12A---TNFSF12	0.000051
COL1A2---ITGB1	0.000051
COL1A1---ITGA2	0.000051
EPHA2---EFNA1	0.000049
DDR1---COL1A1	0.000048
IL1B---IL1R2	0.000047
APP---TNFRSF21	0.000045
TNFRSF10B---TNFSF10	0.000043
COL3A1---ITGB1	0.000042
CXCR4---CXCL12	0.000041
ITGA2---COL6A1	0.000040
TGFA---EGFR	0.000040
ITGB1---COL4A1	0.000040
HRAS---INSR	0.000039
TNFRSF1A---GRN	0.000039
TIMP2---ITGA3	0.000038
ITGA2---COL6A2	0.000038
GPC1---VEGFA	0.000038
ALB---FCGRT	0.000038
CD9---HBEGF	0.000037
SDC1---HMGB1	0.000036
LAMC1---ITGA6	0.000036
TNFSF12---TNFRSF12A	0.000035
SERPINA1---LRP1	0.000034
ERBB2---HLA-A	0.000033
SSTR2---SST	0.000033
VEGFA---GPC1	0.000033
ITGAV---CALR	0.000032
FGF19---FGFR1	0.000032
TRAF2---GSTP1	0.000032
HSPG2---ITGA2	0.000031
COL1A1---DDR1	0.000031
ITGA3---ADAM9	0.000031
LTB---LTBR	0.000031
TSPAN1---MDK	0.000031
HBEGF---EGFR	0.000030
ITGB1---LAMB1	0.000029
LAMC1---ITGA2	0.000029
ITGB1---VCAN	0.000028
ERBB3---AREG	0.000027
DPP4---ADCYAP1	0.000027
VCAN---ITGB1	0.000027
ITGA5---COL1A1	0.000026
TNFRSF14---MIF	0.000026
ITGA2---COL5A3	0.000025
CAV1---GNAI2	0.000025
EGFR---ANXA1	0.000024
ITGB1---COL1A2	0.000024
SDC1---FGF2	0.000024
MET---SEMA4D	0.000024
MIF---TNFRSF10D	0.000023
IGF2R---IGF2	0.000023
ITGB6---TGFB1	0.000022
ACVR1---TGFB1	0.000022
CHAD---ITGB1	0.000021
COL9A3---ITGB1	0.000021
HSP90AA1---EGFR	0.000020
ITGA2---FN1	0.000019
HRAS---CAV1	0.000017
TMEM67---TCTN1	0.000017
TGFB1---ITGB6	0.000015
TGFB1---ACVR1	0.000013
LTB---CD40	0.000013
ITGB1---FGA	0.000012
COL1A1---ITGA5	0.000012
ITGAV---TGFB1	0.000012
BMP2---ACVR1	0.000012
TGFBR3---TGFB1	0.000012
CDH1---IGF1R	0.000011
DSC2---DSG2	0.000011
ITGB1---COL3A1	0.000010
LRPAP1---VLDLR	0.000009
COL6A2---ITGA2	0.000008
CGN---F11R	0.000008
IGF1R---CDH1	0.000007
ITGB1---COL19A1	0.000007
TGFB1---ENG	0.000007
SORT1---LRPAP1	0.000006
ITGB1---COL26A1	0.000006
ITGA2---COL4A1	0.000006
RPSA---LAMB2	0.000005
SEMA4D---PLXNB2	0.000005
TGFB1---TGFBR1	0.000004
TGFBR2---TGFB1	0.000004
F8---LDLR	0.000004
TFPI---VLDLR	0.000003
EFNA1---EPHA5	0.000003
EFNB1---EPHB4	0.000003
COL4A1---ITGB1	0.000002
COL4A1---ITGA2	0.000002
CD74---APP	0.000001
A2M---LRP1	0.000000
AANAT---MTNR1A	0.000000
AANAT---MTNR1B	0.000000
ACE---AGTR2	0.000000
ACE---BDKRB2	0.000000
ADAM10---AXL	0.000000
ADAM10---EPHA3	0.000000

immune_cell---endocrine	q-value: 0.66866

Ligand---Receptor	contribution
TIMP1---CD63	0.309485
CD63---TIMP1	0.139053
RAMP1---IAPP	0.086828
APLP2---HLA-A	0.067346
INSR---INS	0.041485
LRP1---SERPINA1	0.030254
IL13---IL13RA1	0.027027
GRN---TNFRSF1A	0.016836
CD14---ITGB1	0.016207
HLA-B---CANX	0.013866
CD74---APP	0.012578
DDR1---TTR	0.011447
HLA-A---APLP2	0.010182
CANX---HLA-B	0.009744
COL18A1---ITGB1	0.007821
GCGR---GCG	0.007633
GRN---SORT1	0.006904
LRP1---PSAP	0.006311
OSM---IL6ST	0.005648
ADAM9---ITGB1	0.005194
PLAUR---ITGB1	0.005042
TNFRSF1B---GRN	0.004881
GCGR---GNAS	0.004126
SPP1---ITGB1	0.003856
APOE---VLDLR	0.003587
TYROBP---CD47	0.003544
CD44---VIM	0.003324
TIMP2---ITGB1	0.003244
IL1B---IL1R1	0.003185
THBS1---ITGB1	0.003056
VIM---CD44	0.002943
IGF1R---INS	0.002904
APOE---LDLR	0.002435
APOE---LRP5	0.002431
LRP1---CALR	0.002410
ENG---INHBA	0.001977
SPP1---ITGAV	0.001928
SORT1---COPA	0.001802
APOE---SORL1	0.001394
LGALS3BP---ITGB1	0.001390
INS---INSR	0.001389
LRP1---APP	0.001292
CD44---SPP1	0.001278
ITGA5---SPP1	0.001278
ITGAV---SPP1	0.001278
PSAP---GPR37	0.001250
THBS1---CD47	0.001197
LIF---IL6ST	0.001161
ITGB1---CDH1	0.001111
PLAUR---ITGAV	0.000993
LRP1---MDK	0.000989
SST---SSTR2	0.000901
LRP1---LRPAP1	0.000869
COL8A2---ITGB1	0.000783
THBD---HMGB1	0.000716
IGF1R---IGF2	0.000697
SORT1---GRN	0.000556
LRPAP1---SORT1	0.000381
PLAU---PLAUR	0.000360
CD44---MMP1	0.000313
INSR---IGF2	0.000299
FPR1---GNAI2	0.000272
ADM---RAMP2	0.000241
LRP1---MMP9	0.000218
ABCA1---LIN7C	0.000163
CALR---ITGA3	0.000161
ACVR2A---INHBA	0.000134
ITGB2---F10	0.000120
ITGAV---CALR	0.000115
NRP1---VEGFB	0.000109
ADAM9---ITGA3	0.000107
LILRB2---HLA-A	0.000079
INSR---ARF1	0.000069
ITGA5---ADAM17	0.000054
TRAF2---GSTP1	0.000030
SERPINA1---LRP1	0.000025
INS---IGF1R	0.000023
SST---SSTR3	0.000019
CLEC2D---FAM3C	0.000019
SEMA4C---PLXNB2	0.000015
A2M---LRP1	0.000000
AANAT---MTNR1A	0.000000
AANAT---MTNR1B	0.000000
ACE---AGTR2	0.000000
ACE---BDKRB2	0.000000

immune_cell---endothelial	q-value: 0.17734

Ligand---Receptor	contribution
CD63---TIMP1	0.234711
TIMP1---CD63	0.203254
VEGFA---KDR	0.027479
CD14---ITGB1	0.024391
APLP2---HLA-A	0.022962
CANX---HLA-B	0.022173
VEGFA---FLT1	0.019462
SPP1---ITGA5	0.018933
CD74---APP	0.016517
HMGB1---THBD	0.015742
THBD---HMGB1	0.012755
CD44---VIM	0.011258
HLA-B---CANX	0.010331
SPP1---ITGB1	0.009859
IL1B---IL1R1	0.008962
COL18A1---ITGA2	0.008869
TGFB1---ENG	0.008565
VEGFA---NRP1	0.008503
VEGFA---NRP2	0.007925
THBS1---ITGB1	0.006526
SPP1---S1PR1	0.006424
HLA-A---APLP2	0.006019
ENG---INHBA	0.006017
LRP1---SERPINE1	0.005830
PLAUR---ITGB1	0.005079
ITGB1---THBS1	0.004914
ITGB1---HSPG2	0.004672
IAPP---RAMP2	0.004649
COL18A1---KDR	0.004435
VEGFB---FLT1	0.004435
LDLR---LRPAP1	0.004435
COL18A1---ITGA1	0.004435
INHBA---ENG	0.004283
LILRB2---HLA-B	0.004132
ITGB1---COL4A1	0.003893
PLAUR---PLAU	0.003555
ITGB1---COL13A1	0.003115
ITGAV---CALR	0.003099
SPP1---CD44	0.002958
APOE---LDLR	0.002714
LRP1---THBS1	0.002457
TGM2---ITGB1	0.002390
INS---IDE	0.002151
THBS1---ITGA2B	0.001874
THBS1---LRP1	0.001874
FPR1---GNAI2	0.001732
ITGB1---COL6A1	0.001427
PSAP---LRP1	0.001406
GRN---TNFRSF1A	0.001330
LRP1---CALR	0.001277
ITGB1---COL6A2	0.001234
ITGA5---COL18A1	0.001154
ADM---RAMP2	0.000465
ADAM9---ITGB1	0.000415
TNFRSF1B---GRN	0.000415

immune_cell---exocrine	q-value: 0.66866

Ligand---Receptor	contribution
MMP9---CD44	0.247137
TIMP1---CD63	0.122363
MMP1---CD44	0.095314
SPP1---ITGB1	0.054799
PLAUR---ITGB1	0.038619
CD14---ITGB1	0.036317
VIM---CD44	0.028007
SPP1---CD44	0.020216
APLP2---HLA-A	0.015404
CD63---TIMP1	0.014910
TGM2---ITGB1	0.014391
SPP1---ITGA5	0.012152
IL1B---IL1R1	0.010726
CD44---MMP7	0.008771
THBS1---ITGB1	0.008496
LRP1---SERPINA1	0.007642
ITGB1---LAMC2	0.006876
PLAUR---PLAU	0.006371
TGM2---SDC4	0.005266
GRN---TNFRSF1A	0.004724
HLA-B---CANX	0.004564
ADAM9---ITGB1	0.004188
TNFRSF1B---GRN	0.004173
CD74---APP	0.003805
TIMP2---ITGB1	0.003144
ITGB1---TGM2	0.003113
ITGB1---CDH1	0.003008
APOE---LRP5	0.002607
MMP1---ITGA2	0.002532
SPP1---ITGAV	0.002360
HLA-A---APLP2	0.002307
ITGB1---PLAUR	0.002097
VEGFA---EPHB2	0.001747
COL18A1---ITGB1	0.001677
CANX---HLA-B	0.001644
LGALS9---CD44	0.001511
CD44---VIM	0.001450
IL1B---IL1R2	0.001394
APOE---LDLR	0.001188
CALR---ITGA3	0.001160
ITGB1---TNC	0.001146
CD44---FGF2	0.001131
LRP1---PLAU	0.001033
ITGA5---CYR61	0.000975
LRP1---PSAP	0.000954
LGALS3BP---ITGB1	0.000872
COL8A2---ITGB1	0.000872
CD44---HBEGF	0.000841
ITGA5---CTGF	0.000817
THBS1---ITGA6	0.000783
IL13---IL4R	0.000719
OSM---OSMR	0.000713
B2M---ALB	0.000683
ITGB1---VCAM1	0.000678
IL6ST---LIF	0.000663
TRAF2---GSTP1	0.000590
CCR1---CCL2	0.000568
THBS1---ITGA3	0.000554
THBD---HMGB1	0.000543
ITGB2---C3	0.000505
HBEGF---CD44	0.000481
ITGAV---CYR61	0.000441
THBS1---SDC1	0.000434
PLAUR---ITGAV	0.000426
GNAI2---CAV1	0.000419
APOE---LRP8	0.000414
ITGB1---TIMP2	0.000404
C5AR1---RPS19	0.000383
ITGB1---SEMA7A	0.000374
GRN---SORT1	0.000335
VEGFA---GPC1	0.000326
PLAU---PLAUR	0.000320
ITGB1---LGALS3BP	0.000311
ST14---SPINT1	0.000300
CD44---COL1A1	0.000296
THBS1---ITGAV	0.000281
LAMB2---RPSA	0.000250
CD82---HBEGF	0.000246
LRP1---CALR	0.000237
MMP2---ITGAV	0.000230
ITGA3---LAMC2	0.000230
ADAM9---ITGA6	0.000212
ITGB2---CTGF	0.000204
CALR---ITGAV	0.000201
TNFRSF14---MIF	0.000201
THBS1---CD47	0.000169
IL1B---ADRB2	0.000158
ABCA1---PLTP	0.000155
ENG---BMP2	0.000150
INS---INSR	0.000137
TYROBP---CD47	0.000121
ITGB1---ADAM9	0.000116
EREG---EGFR	0.000112
ITGB3---TGM2	0.000083
OSM---IL6ST	0.000073
TNFRSF10D---MIF	0.000061
ITGAX---C3	0.000053
LRP1---C3	0.000048
ENG---TGFB1	0.000048
INS---IGF1R	0.000036
PLD2---ARF1	0.000030
APOE---VLDLR	0.000025
ARF1---INSR	0.000017
ITGAE---CDH1	0.000014
FPR3---HEBP1	0.000014
CXCR4---CXCL12	0.000014
PLAU---ST14	0.000014
FCGRT---ALB	0.000012
CD44---FN1	0.000011
INHBA---ACVR1	0.000006
SST---SSTR2	0.000006
A2M---LRP1	0.000000
AANAT---MTNR1A	0.000000

immune_cell---immune_cell	q-value: 0.00012745

Ligand---Receptor	contribution
CD44---MMP9	0.214219
TIMP1---CD63	0.119310
MMP9---CD44	0.111684
CD44---MMP1	0.088800
MMP9---LRP1	0.088223
CD63---TIMP1	0.043861
GRN---TNFRSF1B	0.029124
CD44---VIM	0.025816
MMP1---CD44	0.022814
LRP1---MMP9	0.022642
PSAP---LRP1	0.021233
ITGB1---PLAUR	0.013770
VIM---CD44	0.009992
CD14---ITGB1	0.009909
APLP2---HLA-A	0.004212
APP---CD74	0.003931
GRN---SORT1	0.002897
CD74---APP	0.002804
CD44---LGALS9	0.002804
LRP1---PSAP	0.002412
THBS1---ITGB1	0.002103
HLA-A---APLP2	0.001932
ITGB1---TGM2	0.001753
THBS1---LRP1	0.001456
INHBA---ENG	0.001402
THBS1---ITGB3	0.001288

schwann---endocrine	q-value: 0.66866

Ligand---Receptor	contribution
TIMP1---CD63	0.863014
ITGB8---TGFB1	0.075342
HLA-A---APLP2	0.034247
CANX---HLA-B	0.013699
HBEGF---CD82	0.006849
INHBA---ACVR1C	0.006849
A2M---LRP1	0.000000
AANAT---MTNR1A	0.000000
AANAT---MTNR1B	0.000000
ACE---AGTR2	0.000000

schwann---endothelial	p-value: 0.66866

schwann---exocrine	q-value: 0.66866

Ligand---Receptor	contribution
TIMP1---CD63	0.453780
CD44---MMP7	0.066459
APP---TNFRSF21	0.029176
LIF---IL6ST	0.027873
PTGS2---CAV1	0.026723
TNC---ITGB1	0.025427
CANX---HLA-B	0.023271
CD63---TIMP1	0.021428
VEGFA---EPHB2	0.016938
VIM---CD44	0.012452
MMP2---ITGAV	0.011518
APLP2---HLA-A	0.011377
APP---CAV1	0.009845
TNC---ITGB6	0.008439
ITGB1---CDH1	0.007032
HLA-A---APLP2	0.006775
CD44---SPP1	0.005688
CD44---FGF2	0.005420
FGFR1---FGF2	0.005420
PLAUR---PLAU	0.005420
APP---CD74	0.003982

schwann---immune_cell	p-value: 0.66866

