B-cell---B-cell	q-value: 1.7699e-08
ITGB1---PLAUR	0.000216
BTLA---TNFRSF14	0.000211
CLEC2D---FAM3C	0.000211
CCL20---CXCR3	0.000208
FAS---FASLG	0.000203
LGALS3BP---ITGB1	0.000202
LILRB1---HLA-C	0.000202
TNFRSF14---BTLA	0.000194
RPSA---LAMA2	0.000193
MICB---HCST	0.000187
HLA-A---LILRB1	0.000187
CHRM3---GZMB	0.000186
ITGB1---VCAM1	0.000185
KLRK1---MICB	0.000185
CD244---CD48	0.000182
CD27---CD70	0.000182
KIR3DL2---HLA-A	0.000180
IL10RB---IL10	0.000172
CCL5---GPR75	0.000167
CCL3L1---CCR5	0.000166
LAMA2---RPSA	0.000166
CALR---TSHR	0.000161
LTB---TNFRSF1A	0.000161
TRAF2---GSTP1	0.000157
CCL14---CCR5	0.000154
CD40---LTB	0.000154
ADORA2A---NAMPT	0.000142
RPS19---C5AR1	0.000141
FAS---TNF	0.000139
CD70---CD27	0.000136
TNFSF10---TNFRSF10B	0.000132
TNFRSF4---TNFSF4	0.000131
IL6ST---EBI3	0.000130
CXCR6---CXCL16	0.000126
CCL3L3---CCR1	0.000126
GNAS---PTGDR	0.000124
CADM1---CRTAM	0.000123
GZMB---IGF2R	0.000122
HLA-C---KIR2DS4	0.000120
KIR2DL1---HLA-C	0.000120
ADAM28---ITGA4	0.000119
HLA-C---LILRB1	0.000119
JMJD6---PTDSS1	0.000117
LTB---CD40	0.000117
ADAM10---AXL	0.000116
CCL5---DARC	0.000116
HBEGF---CD44	0.000115
PLD2---ARF1	0.000115
ITGA5---CD40LG	0.000112
IL16---KCNA3	0.000104
SLAMF1---SLAMF1	0.000103
SLAMF7---SLAMF7	0.000102
TRAF2---TNF	0.000102
IL21---IL21R	0.000094
KIR2DS4---HLA-C	0.000092
ITGB7---VCAM1	0.000091
PODXL---SELL	0.000086
CCR10---CXCL13	0.000085
HCST---MICB	0.000084
CHRM3---ARF1	0.000084
ITGAL---ICAM1	0.000082
CXCL2---DPP4	0.000081
VCAM1---ITGB7	0.000080
GNAI2---CCR5	0.000076
NCSTN---PSEN1	0.000076
CD84---CD84	0.000075
CLEC4M---ICAM3	0.000073
JAM3---ITGB2	0.000073
CD47---TYROBP	0.000072
CCR5---GNAI2	0.000072
TNFRSF10B---TNFSF10	0.000072
ADAM17---ITGB1	0.000069
EFNA1---EPHA1	0.000068
TSHR---CALR	0.000067
NAMPT---ADORA2A	0.000067
ANXA1---FPR1	0.000067
ITGA4---VCAM1	0.000067
IFNG---IFNGR2	0.000066
TNFRSF10D---MIF	0.000066
PTMA---VIPR1	0.000065
HLA-B---LILRB2	0.000065
CD200R1---CD200	0.000064
PTDSS1---JMJD6	0.000063
SELP---SELPLG	0.000063
IL2---IL2RG	0.000063
SELL---CFH	0.000062
CCR1---CCL3L1	0.000062
VCAM1---ITGB1	0.000061
ITGB2---JAM3	0.000060
IFNGR2---IFNG	0.000060
CD48---CD244	0.000060
VCAM1---ITGA4	0.000057
PTGIR---GNAS	0.000055
PODXL2---SELL	0.000055
CXCL10---SDC4	0.000055
LTA---RIPK1	0.000055
ITGB2---F11R	0.000053
TNFSF10---TNFRSF10A	0.000053
VIPR1---GNAS	0.000052
TNF---TRAF2	0.000052
PTPRC---MRC1	0.000052
APP---NCSTN	0.000051
CCL7---CXCR3	0.000050
CD80---CTLA4	0.000050
KIR2DL3---HLA-C	0.000049
DARC---CXCL1	0.000048
IL2RA---IL15	0.000048
IGF2R---GZMB	0.000048
TNFRSF10A---TNFSF10	0.000048
IL2RG---IL15	0.000048
PTGDR---GNAS	0.000047
IL27RA---EBI3	0.000047
ICAM3---ITGAD	0.000046
KCNA3---IL16	0.000046
KLRK1---RAET1E	0.000046
CD160---TNFRSF14	0.000046
GNAS---TSHR	0.000045
CD99---PILRA	0.000041
ITGB1---LAMB1	0.000040
CCL2---CCR4	0.000039
LRP1---PSAP	0.000039
SORL1---APOE	0.000038
ENTPD1---ADORA2A	0.000037
RIPK1---TNF	0.000037
LRP1---CALR	0.000035
HCST---RAET1E	0.000035
CD40LG---CD40	0.000035
CRTAM---CADM1	0.000034
SELL---CD34	0.000034
CDH1---ITGB1	0.000033
GNAS---HTR6	0.000032
MRC1---PTPRC	0.000031
FASLG---TNFRSF10B	0.000031
CXCL1---DARC	0.000031
SPP1---ITGA4	0.000031
IL10---IL10RB	0.000030
COL9A2---ITGB1	0.000030
AXL---ADAM10	0.000030
GNAS---PTGIR	0.000029
IGFL2---IGFLR1	0.000029
MDK---SDC4	0.000028
VCAM1---ITGAD	0.000028
IL15---IL2RG	0.000027
OMG---TNFRSF1B	0.000027
TNFRSF14---TNFSF14	0.000026
ULBP2---KLRK1	0.000026
F11R---ITGB2	0.000025
CD40LG---ITGB1	0.000025
ITGAV---CALR	0.000025
HLA-G---KLRC1	0.000024
SPP1---S1PR1	0.000023
ERBB2---HLA-A	0.000023
CTLA4---CD80	0.000023
TNFRSF1A---GRN	0.000022
TNFSF8---TNFRSF8	0.000022
CCL22---DPP4	0.000022
CXCR3---CCL7	0.000022
EBI3---IL6ST	0.000021
ITGA4---ADAM28	0.000021
TNFRSF1A---FASLG	0.000021
CCR1---CCL3L3	0.000020
ITGB1---CDH1	0.000020
TNF---FAS	0.000020
ADAM17---ITGA5	0.000019
IL6ST---LIF	0.000019
RTN4R---RTN4	0.000019
TNF---RIPK1	0.000019
HLA-A---LILRB2	0.000019
TNFRSF14---CD160	0.000018
KLRG1---CDH1	0.000018
CD40LG---ITGA5	0.000017
TNFRSF9---TNFSF9	0.000017
CD82---HBEGF	0.000017
TNFRSF10B---FASLG	0.000017
THBD---HMGB1	0.000015
ITGB1---FBLN1	0.000015
NOTCH2---PSEN1	0.000014
FCER2---ITGB2	0.000014
TBXA2R---GNAI2	0.000014
HAS2---CD44	0.000014
TSHR---GNAS	0.000014
COL1A2---CD44	0.000014
ALCAM---CD6	0.000014
TNFSF12---TNFRSF25	0.000014
ITGB1---ADAM17	0.000014
SELL---MUC7	0.000013
ITGAL---ICAM4	0.000013
CD44---VCAN	0.000013
SPN---ICAM1	0.000013
NOTCH1---MFNG	0.000013
ITGB2---ICAM4	0.000012
ANXA1---FPR3	0.000012
TNFSF14---TNFRSF14	0.000011
TNF---TNFRSF1A	0.000011
CD38---PECAM1	0.000011
F11R---ITGAL	0.000011
ICAM4---ITGB1	0.000010
BTLA---CD79A	0.000010
F2R---GNAI2	0.000010
IL6ST---IL11	0.000010
PDCD1---CD274	0.000010
TNFRSF25---TNFSF12	0.000010
OSM---IL6ST	0.000010
POMC---MC1R	0.000010
CALR---ITGAV	0.000009
CD72---SEMA4D	0.000009
LTBR---LTB	0.000009
ITGAM---ICAM2	0.000009
ITGB2---CTGF	0.000008
LRP1---PLAT	0.000008
SEMA7A---ITGB1	0.000008
MFNG---NOTCH2	0.000008
TNFRSF1A---TNF	0.000008
CTHRC1---FZD3	0.000008
S1PR1---SPP1	0.000008
PLXNB2---SEMA4D	0.000008
NOTCH2---MFNG	0.000007
LRP1---SERPINE2	0.000007
CXCR2---GNAI2	0.000007
SCARF1---CALR	0.000007
COL3A1---ITGB1	0.000007
C5AR1---RPS19	0.000007
PSAP---GPR37L1	0.000007
CXCL13---CCR10	0.000007
CELSR1---PSAP	0.000007
IL2RA---ICAM1	0.000007
LEPR---APOD	0.000006
HLA-G---KIR2DL4	0.000006
ADORA2A---ENTPD1	0.000006
CEACAM5---CD8A	0.000005
CCL16---CCR8	0.000005
SDC1---CCL5	0.000005
IGF1R---GNAI2	0.000004
GRN---TNFRSF1A	0.000004
CALR---SCARF1	0.000004
KLRC1---HLA-G	0.000003
GPR37L1---PSAP	0.000003
HLA-G---KLRD1	0.000002
CEL---CXCR4	0.000001
CLEC2D---ADIPOQ	0.000001

malignant---B-cell	q-value: 0.36898

Ligand---Receptor	contribution
APP---CD74	0.563558
FN1---ITGB1	0.193748
VIM---CD44	0.028707
CANX---HLA-B	0.024177
LGALS3BP---ITGB1	0.021093
SPP1---ITGB1	0.015448
MIF---TNFRSF14	0.011716
PLAUR---ITGB1	0.007450
TGM2---ITGB1	0.007195
HLA-B---LILRB1	0.006652
HLA-A---LILRB1	0.006549
CD44---VIM	0.005540
HLA-C---LILRB1	0.005104
HLA-B---CANX	0.005103
LTBR---LTB	0.004828
FN1---CD44	0.004768
TNC---ITGB1	0.004107
COL1A2---ITGB1	0.003281
TNFRSF14---MIF	0.003169
APLP2---HLA-A	0.002975
LAMB2---RPSA	0.002505
SPP1---S1PR1	0.002395
CSPG4---ITGB1	0.002284
ICAM1---IL2RG	0.002072
TIMP1---CD63	0.001811
MIF---TNFRSF10D	0.001806
GSTP1---TRAF2	0.001341
CD47---TYROBP	0.001021
SPP1---CD44	0.001005
COL8A1---ITGB1	0.000907
PODXL---SELL	0.000900
LTBR---TNF	0.000635
GPI---AMFR	0.000385
ICAM1---ITGB2	0.000370
SIGLEC10---CD52	0.000255
ARF1---CHRM3	0.000240
FN1---NT5E	0.000208
SDC4---CCL5	0.000178
LAMA1---RPSA	0.000139
RIPK1---TNF	0.000108
TNFRSF14---BTLA	0.000107
SCARB1---PTDSS1	0.000086

malignant---CAF	q-value: 1.6386e-16

Ligand---Receptor	contribution
CD63---TIMP1	0.271386
TIMP1---CD63	0.112065
CD44---COL1A1	0.043102
CD44---COL1A2	0.036488
CD44---VIM	0.036332
FN1---ITGB1	0.034668
ITGB1---COL1A1	0.025228
ITGB1---PLA2G2A	0.021893
ITGB1---COL1A2	0.021375
ITGB1---COL3A1	0.016414
VIM---CD44	0.015935
FN1---CD44	0.014518
FN1---PLAUR	0.012466
SERPINE2---LRP1	0.011921
CD44---MMP1	0.010076
FN1---NT5E	0.010036
FN1---ITGA5	0.007752
SPP1---ITGB1	0.006895
CD44---FN1	0.006617
FN1---ITGA11	0.006310
FN1---SDC2	0.004804
LGALS3BP---ITGB1	0.004362
CD44---VCAN	0.003126
HLA-B---CANX	0.002559
FN1---ITGB5	0.002462
ITGA5---COL1A1	0.002330
SPP1---CD44	0.002295
PLAUR---FN1	0.002275
ITGB3---COL1A2	0.002265
CANX---HLA-B	0.002259
APLP2---HLA-A	0.002179
ITGA5---PLA2G2A	0.002150
SPP1---ITGA5	0.001929
PSAP---LRP1	0.001915
ITGA10---COL1A1	0.001894
ITGA10---COL1A2	0.001259
ITGA10---COL3A1	0.001254
ITGB1---LGALS3BP	0.001212
LAMB2---RPSA	0.001202
DDR1---COL1A1	0.001153
FN1---ITGA2	0.001029
FN1---ITGA4	0.000956
GSTP1---TRAF2	0.000954
DDR2---COL1A1	0.000906
AQP1---EFEMP2	0.000886
A2M---LRP1	0.000857
CD44---HAS2	0.000728
ITGB1---FBLN1	0.000720
FN1---ITGAV	0.000594
MAG---COL3A1	0.000586
TLR2---BGN	0.000561
PLAUR---ITGB1	0.000498
RPSA---LAMB2	0.000409
ITGA1---COL3A1	0.000373
HLA-A---APLP2	0.000351
SDC4---MDK	0.000342
DDR2---COL3A1	0.000335
ITGB1---COL6A2	0.000254
MFGE8---PDGFRB	0.000250
ITGA11---COL3A1	0.000237
DDR1---COL3A1	0.000224
ITGA1---COL1A2	0.000223
SPP1---ITGAV	0.000221
ITGB1---COL6A1	0.000217
ITGB1---VCAN	0.000203
MET---DCN	0.000188
ITGB1---FBN1	0.000135
ITGB1---FN1	0.000121
EGFR---DCN	0.000107
CTGF---LRP1	0.000101

malignant---Endothelial	q-value: 0.36898

Ligand---Receptor	contribution
CD63---TIMP1	0.162076
TIMP1---CD63	0.079818
FN1---ITGB1	0.061456
CANX---HLA-B	0.060835
CD44---VIM	0.054271
MIF---TNFRSF14	0.038444
LGALS3BP---ITGB1	0.036216
APP---CD74	0.035415
SPP1---ITGB1	0.034393
TNFRSF14---MIF	0.022346
APP---CAV1	0.020751
HLA-A---APLP2	0.018339
GPR56---TGM2	0.017516
CAV1---APP	0.017288
FN1---ITGA5	0.016485
APLP2---HLA-A	0.010203
RPSA---LAMB2	0.008803
SPP1---ITGA5	0.008281
GRN---TNFRSF1A	0.005953
NCSTN---APP	0.004486
HLA-B---KLRD1	0.004416
VLDLR---TFPI	0.003977
HLA-B---CANX	0.003946
CSPG4---ITGB1	0.003864
COL1A2---CD36	0.003805
LAMB2---RPSA	0.003747
SORT1---NTS	0.003506
CD74---APP	0.003152
GSTP1---TRAF2	0.002845
CD44---FN1	0.002482
SDC4---TGM2	0.002454
BST1---CAV1	0.002443
COL1A2---ITGB1	0.002426
EDNRB---EDN1	0.002324
PLAUR---ITGB1	0.002108
TGM2---ITGB1	0.002015
ITGB1---COL15A1	0.001637
APOE---LDLR	0.001566
PRSS23---TMEM222	0.001426
ITGB3---VWF	0.001267
ITGB1---FN1	0.001195
HMGB1---THBD	0.001120
CDH1---ITGB1	0.001066
COL6A1---ITGB1	0.001043
TNFRSF1A---GRN	0.000933
ITGB1---COL4A2	0.000824
TLR2---BGN	0.000800
CD44---LGALS9	0.000766
SEMA7A---ITGB1	0.000566
ADAM17---ITGB1	0.000514
TIMP2---ITGB1	0.000438
ADM---RAMP2	0.000337
TNC---ITGB1	0.000272
ADAM9---ITGB1	0.000149

malignant---Macrophage	q-value: 3.2052e-07

Ligand---Receptor	contribution
CD63---TIMP1	0.442717
APP---CD74	0.137609
TIMP1---CD63	0.045130
FN1---PLAUR	0.032594
CD44---SPP1	0.022594
ITGB1---SPP1	0.021186
CANX---HLA-B	0.020664
HLA-B---CANX	0.015698
HLA-A---APLP2	0.009222
HLA-B---LILRB2	0.008249
VIM---CD44	0.007639
FN1---ITGB1	0.007591
APLP2---HLA-A	0.007167
FN1---CD44	0.006748
SAA1---FPR1	0.006696
ITGA5---SPP1	0.006009
HLA-A---LILRB2	0.005195
CD47---TYROBP	0.004360
ITGB3---SPP1	0.003737
ITGB1---CD14	0.003304
HLA-B---LILRB1	0.003224
HLA-C---LILRB2	0.003217
GRN---TNFRSF1B	0.003132
LRP1---C1QB	0.002817
CD44---VIM	0.002783
CSPG4---C1QA	0.002304
LRP1---PSAP	0.002270
FN1---ITGA5	0.002124
HLA-A---LILRB1	0.002058
SPP1---ITGB1	0.002040
ICAM1---ITGB2	0.001863
LGALS3BP---ITGB1	0.001705
FN1---SDC2	0.001681
MIF---TNFRSF14	0.001656
TNFRSF14---MIF	0.001640
ANXA1---FPR2	0.001583
ERBB3---AREG	0.001483
ITGB1---PLAUR	0.001465
HLA-C---LILRB1	0.001316
CD14---ITGB1	0.001236
FN1---ITGB7	0.001214
ANXA1---FPR1	0.001214
CD74---APP	0.001093
CD99---PILRA	0.001043
FN1---ITGB5	0.000941
SPP1---CD44	0.000875
TNFRSF1B---GRN	0.000863
SPP1---ITGA5	0.000830
PSAP---CD1B	0.000748
SAA1---FPR2	0.000725
ANXA1---FPR3	0.000671
CD44---FN1	0.000642
CTGF---ITGB2	0.000534
VLDLR---APOE	0.000528
SDC4---CXCL10	0.000522
KLRD1---HLA-B	0.000496
SERPINE2---LRP1	0.000468
C5AR1---RPS19	0.000428
RPS19---C5AR1	0.000424
LILRB2---HLA-B	0.000420
PLAUR---FN1	0.000400
FN1---ITGA4	0.000379
ITGB1---F13A1	0.000370
ITGB3---PLAUR	0.000349
LRP1---APOE	0.000324
SCARB1---APOE	0.000305
TNFRSF1A---GRN	0.000279
UCN2---IL10RB	0.000279
GPR37---PSAP	0.000266
PLTP---ABCA1	0.000249
CXCR3---CXCL10	0.000224
APP---FPR2	0.000218
LILRB1---HLA-B	0.000216
TLR2---VCAN	0.000212
ITGB1---FN1	0.000205
IL8---SDC2	0.000204
LILRB2---HLA-A	0.000203
ITGAV---SPP1	0.000203
EGFR---AREG	0.000190
LILRB1---HLA-A	0.000190
OSMR---OSM	0.000181
APOD---LEPR	0.000181
ITGB1---VCAN	0.000180
LRP1---A2M	0.000149
CYR61---ITGB2	0.000145
CCL2---CCR1	0.000139
IL1RAP---IL1RN	0.000126
ITGA9---SPP1	0.000108
ICAM1---IL2RG	0.000100
SPP1---ITGA4	0.000092
EGFR---ANXA1	0.000076
EGFR---HSP90AA1	0.000075
CTGF---ITGA5	0.000071
SORT1---GRN	0.000070
GRN---TNFRSF1A	0.000061
TNFRSF14---TNFSF13	0.000056
ICAM1---ITGAX	0.000052
ITGB1---LGALS3BP	0.000052
PSAP---LRP1	0.000051
LAMB2---RPSA	0.000042
CD44---VCAN	0.000034
ITGAV---PLAUR	0.000030
CD44---LGALS9	0.000026
TIMP2---ITGB1	0.000008
COL16A1---ITGB1	0.000006
CCL5---CCR5	0.000006

malignant---NK	q-value: 0.36898

Ligand---Receptor	contribution
VIM---CD44	0.148364
FN1---CD44	0.142875
FN1---ITGB1	0.069115
HLA-B---KLRD1	0.064165
CCR5---CCL4	0.038813
CXCL10---CXCR3	0.034091
CANX---HLA-B	0.030870
APLP2---HLA-A	0.027706
HLA-B---LILRB1	0.025050
CCR5---CCL5	0.021736
CD44---VIM	0.018835
KLRD1---HLA-B	0.015613
HLA-E---KLRD1	0.015592
HLA-E---KLRC1	0.015021
CCR5---CCL3	0.014621
HLA-A---LILRB1	0.013905
HLA-B---KIR3DL1	0.013173
HLA-B---CANX	0.012626
HLA-C---KIR2DL1	0.012293
SPP1---CD44	0.011444
ICAM1---IL2RG	0.011278
HLA-C---LILRB1	0.010769
HLA-A---KIR3DL1	0.010063
LILRB2---HLA-B	0.008545
CXCR3---CCL5	0.007995
LILRB1---HLA-B	0.007989
CLEC2D---KLRB1	0.007354
LILRB2---HLA-C	0.006652
ICAM1---ITGB2	0.006544
LGALS3BP---ITGB1	0.005212
SPP1---ITGB1	0.004729
ICAM1---ITGAX	0.003777
MICA---KLRK1	0.003755
HLA-C---KIR2DL3	0.003274
HLA-E---KLRC2	0.002973
PLAUR---ITGB1	0.002382
LILRB1---HLA-C	0.002317
TGM2---ITGB1	0.002314
CXCL9---CXCR3	0.001953
CD63---TIMP1	0.001807
COL1A2---CD44	0.001457
APP---CD74	0.001118
KLRC2---HLA-E	0.000756
COL1A2---ITGB1	0.000721
CD47---TYROBP	0.000658
SPP1---S1PR1	0.000647

malignant---T-cell	q-value: 0.36898

Ligand---Receptor	contribution
VIM---CD44	0.155320
CXCL10---CXCR3	0.078216
FN1---ITGB1	0.069398
FN1---CD44	0.054347
CANX---HLA-B	0.051181
HLA-B---KLRD1	0.029496
ICAM1---IL2RG	0.025138
HLA-B---CANX	0.023023
APLP2---HLA-A	0.020155
LGALS3BP---ITGB1	0.019412
KLRD1---HLA-B	0.017629
CCR5---CCL4	0.016059
SPP1---ITGB1	0.015650
MIF---TNFRSF14	0.015617
CD44---VIM	0.013121
FN1---ITGA4	0.012477
APP---CD74	0.012114
CCR5---CCL5	0.011379
SPP1---CD44	0.009918
LILRB2---HLA-B	0.009482
ICAM1---ITGB2	0.009048
LILRB1---HLA-B	0.008757
SDC4---CCL5	0.008427
FN1---ITGB7	0.008146
HLA-E---KLRD1	0.006212
GRN---TNFRSF1B	0.006160
TIMP1---CD63	0.005685
LILRB2---HLA-A	0.005323
HLA-B---KIR3DL1	0.005092
HLA-A---APLP2	0.004990
CXCR3---CCL5	0.004822
CD74---APP	0.004028
LILRB2---HLA-C	0.003964
LILRB1---HLA-A	0.003801
CXCL13---CXCR3	0.003491
HLA-E---KLRC1	0.003291
CCL5---CXCR3	0.003205
KLRD1---HLA-E	0.003198
PLAUR---ITGB1	0.003164
HLA-A---KIR3DL1	0.002997
KLRC2---HLA-E	0.002770
CXCL10---DPP4	0.002702
MICA---KLRK1	0.002702
CXCL9---CXCR3	0.002587
LAMB2---RPSA	0.002455
LILRB1---HLA-C	0.002392
CD58---CD2	0.002306
CD48---CD2	0.002172
IFNGR2---IFNG	0.002119
HLA-E---KLRC2	0.002019
CSPG4---ITGB1	0.001993
TNFRSF14---MIF	0.001948
CCL4---CCR5	0.001914
TGM2---ITGB1	0.001835
SPP1---ITGA4	0.001801
ITGB2---ICAM2	0.001752
CCR1---CCL5	0.001732
HLA-A---KIR3DL2	0.001717
ICAM1---ITGAL	0.001702
ITGB2---ICAM3	0.001672
CD63---TIMP1	0.001652
CD2---CD48	0.001626
CXCL10---SDC4	0.001611
HLA-C---KIR2DL1	0.001596
LTBR---LTB	0.001529
CD14---ITGB1	0.001455
COL1A2---ITGB1	0.001439
TNC---ITGB1	0.001408
CD8A---LCK	0.001294
CCL5---SDC4	0.001227
ITGB2---VCAM1	0.001181
CXCR3---CXCL13	0.001173
FN1---NT5E	0.001020
CCL8---CCR2	0.000944
CXCL11---CXCR3	0.000942
CCL5---CCR5	0.000938
MICA---HCST	0.000876
FN1---ITGA5	0.000794
CD2---CD58	0.000755
HLA-C---KIR2DL3	0.000741
SELL---SELPLG	0.000704
MIF---TNFRSF10D	0.000674
COL1A2---CD44	0.000649
CCR5---CCL3L3	0.000617
SELPLG---SELL	0.000573
CXCL16---CXCR6	0.000555
CAV1---APP	0.000516
NCSTN---APP	0.000513
HLA-C---KIR2DS4	0.000501
TYROBP---CD47	0.000500
CCL13---CCR2	0.000485
CCL2---CCR2	0.000470
NAMPT---ADORA2A	0.000459
APOE---SORL1	0.000420
IFNGR1---IFNG	0.000411
ITGB1---LGALS3BP	0.000384
HLA-B---LILRB1	0.000365
CCL2---CCR4	0.000357
PILRA---CD99	0.000353
ITGB1---VCAM1	0.000340
CD40---LTB	0.000337
CCL13---CXCR3	0.000327
CCR5---CCL3	0.000325
LAMB1---ITGB1	0.000313
HLA-C---LILRB1	0.000262
PODXL---SELL	0.000245
CCL3---IDE	0.000238
C5AR1---RPS19	0.000229
CHRM3---GZMB	0.000211
SPP1---S1PR1	0.000193
TIMP2---ITGB1	0.000192
COL8A1---ITGB1	0.000181
PTMA---VIPR1	0.000173
CLEC2D---FAM3C	0.000169
VCAM1---ITGB2	0.000151
ERBB3---AREG	0.000141
SLAMF6---SLAMF6	0.000135
CD97---CD55	0.000132
FAM3C---CLEC2D	0.000121
CDH1---ITGB7	0.000119
ERBB2---HLA-A	0.000113
PLAUR---ITGA4	0.000113
VCAM1---ITGB7	0.000093
PSAP---GPR37L1	0.000091
GNAS---VIPR1	0.000083
APOD---LEPR	0.000079
PLD2---ARF1	0.000078
CD44---HAS2	0.000077
HBEGF---CD44	0.000063
ITGAV---CALR	0.000048
MET---SEMA4D	0.000038
CDH1---ITGB1	0.000038
SCARB1---PTDSS1	0.000035
CD99---PILRA	0.000018
ARF1---CHRM3	0.000015

malignant---malignant	q-value: 0

Ligand---Receptor	contribution
TIMP1---CD63	0.342001
CD63---TIMP1	0.312472
VIM---CD44	0.052426
CD44---VIM	0.051451
HLA-B---CANX	0.027297
CANX---HLA-B	0.022792
HLA-A---APLP2	0.010669
APLP2---HLA-A	0.008945
MIF---TNFRSF14	0.008327
TNFRSF14---MIF	0.008032
SPP1---CD44	0.007927
CD44---FN1	0.006353
CD44---SPP1	0.006263
FN1---CD44	0.006191
LGALS3BP---ITGB1	0.005817
ITGB1---LGALS3BP	0.004597
SPP1---ITGB1	0.002923
FN1---ITGB1	0.002780
ITGB1---FN1	0.002619
ITGB1---SPP1	0.002229
RPSA---LAMB2	0.001274
FN1---PLAUR	0.001269
PLAUR---FN1	0.001261
CD74---APP	0.001207
LAMB2---RPSA	0.001175
APOD---LEPR	0.001171
LEPR---APOD	0.001102
LRP1---SERPINE2	0.000853
CDH7---MIA	0.000849
MIA---CDH7	0.000722
FN1---ITGA3	0.000594
SERPINE2---LRP1	0.000556
ITGB3---SPP1	0.000524
ITGA3---FN1	0.000509
ITGA10---FN1	0.000488
FN1---ITGB3	0.000439
SPP1---ITGB3	0.000404
HLA-A---ERBB2	0.000361
FN1---ITGB5	0.000335
ITGB5---FN1	0.000319
CD44---COL1A2	0.000300
SDC4---CXCL10	0.000286
HLA-B---KLRD1	0.000285
SORT1---GRN	0.000271
FN1---ITGA5	0.000268
ITGB3---FN1	0.000248
TNFRSF1A---GRN	0.000241
FN1---ITGA10	0.000241
GRN---SORT1	0.000232
GSTP1---TRAF2	0.000230
FN1---SDC2	0.000224
APOE---SCARB1	0.000207
ITGB8---FN1	0.000204
FN1---MAG	0.000202
GRN---TNFRSF1A	0.000198
KLRD1---HLA-B	0.000181
ITGA5---FN1	0.000174
ITGAV---FN1	0.000164
FN1---ITGB8	0.000158
ERBB2---HLA-A	0.000154
APP---CAV1	0.000139
SCARB1---APOE	0.000135
FN1---ITGAV	0.000132
COL1A2---CD44	0.000122
CXCL10---SDC4	0.000120
PSAP---GPR37	0.000110
TRAF2---GSTP1	0.000103
FPR1---SAA1	0.000100
ITGA5---SPP1	0.000098
SPP1---ITGA5	0.000097
CD44---COL1A1	0.000095
EGFR---HSP90AA1	0.000095
NT5E---FN1	0.000086
ITGAV---SPP1	0.000080
ITGB3---MFGE8	0.000077
CAV1---APP	0.000075
GPR37---PSAP	0.000075
HSP90AA1---EGFR	0.000072
APOE---LDLR	0.000070
EGFR---ANXA1	0.000067
SDC2---FN1	0.000066
PSAP---LRP1	0.000061
ITGB1---PLAUR	0.000060
ITGB7---FN1	0.000059
TF---TFRC	0.000055
APP---CD74	0.000053
GRN---TNFRSF1B	0.000052
CD14---ITGB1	0.000052
FPR2---SAA1	0.000051
LRP1---A2M	0.000048
VLDLR---APOE	0.000048
TNFRSF11B---FN1	0.000047
CSPG4---ITGB1	0.000046
FN1---NT5E	0.000042
SAA1---FPR1	0.000041
LILRB1---HLA-B	0.000041
ANXA1---EGFR	0.000040
COL1A2---ITGB1	0.000035
LILRA3---HLA-C	0.000034
APP---NCSTN	0.000032
SPP1---ITGAV	0.000031
PLA2G2A---ITGB1	0.000031
SPP1---ITGA9	0.000030
NCSTN---APP	0.000029
LILRB1---HLA-C	0.000029
ITGA5---PLA2G2A	0.000026
MFGE8---ITGB3	0.000024
HLA-E---KLRC2	0.000024
ITGB1---CSPG4	0.000024
CALR---ITGA3	0.000023
ITGA3---CALR	0.000022
SDC4---MDK	0.000022
ITGA11---FN1	0.000022
COL3A1---ITGB1	0.000022
TNFRSF1B---GRN	0.000021
PLAUR---ITGB1	0.000020
TTR---DDR1	0.000018
ITGB1---PLA2G2A	0.000018
CDH1---ITGB1	0.000018
ITGB1---COL6A2	0.000018
IL10RB---UCN2	0.000018
TNC---ITGB1	0.000016
FN1---TSHR	0.000016
LDLR---APOE	0.000015
LRP1---PSAP	0.000015
A2M---LRP1	0.000015
AQP1---EFEMP2	0.000014
APOE---VLDLR	0.000013
SDC4---CCL5	0.000013
TSHR---FN1	0.000011
ITGB1---COL9A3	0.000010
CHRM3---ARF1	0.000010
COL16A1---ITGB1	0.000010
TNC---ITGA7	0.000009
C5AR1---RPS19	0.000009
LAMA1---RPSA	0.000009
CAV1---PTGS2	0.000008
FN1---TNFRSF11B	0.000008
CTGF---ITGA5	0.000008
ARF1---CHRM3	0.000008
SDC3---MDK	0.000007
PLD2---ARF1	0.000006
DDR1---TTR	0.000006
CYR61---ITGB3	0.000005
CD44---HBEGF	0.000005
MDK---SDC3	0.000004
ARF1---INSR	0.000004
C14orf1---CCL18	0.000004
CD44---HAS2	0.000004
GPR56---TGM2	0.000004
SCARB1---PTDSS1	0.000003
MDK---SDC4	0.000003
COL16A1---ITGA10	0.000003
CLCF1---IL6ST	0.000003
TSHR---CALR	0.000003
ITGA10---COL6A2	0.000003
ITGB1---COL16A1	0.000002
NRP2---SEMA3B	0.000002

normal---B-cell	q-value: 0.36898

Ligand---Receptor	contribution
APP---CD74	0.286974
CCL21---CCR7	0.258176
SELPLG---SELL	0.027963
HLA-B---CANX	0.023361
VIM---CD44	0.022092
KLRC1---HLA-E	0.020275
KLRD1---HLA-B	0.016399
HLA-B---LILRB1	0.015249
ITGB2---FCER2	0.013463
CCL19---CCR7	0.012854
CD74---APP	0.011492
CANX---HLA-B	0.011084
